y,n,X1,X2
27,106,1,-1.16507446855401
44,100,1,-0.180308993151227
41,98,1,0.0122267640139671
34,93,1,-0.459636852081855
34,106,1,-0.772662662587317
15,87,1,-1.63706082477514
44,97,1,-0.0181698336531529
20,123,1,-1.90963586456377
27,104,1,-1.39330654852778
81,111,1,1.4551550808912
58,102,1,0.378153502009286
56,101,1,0.498451163140617
62,95,1,0.928686226774059
24,94,1,-0.980161382189543
24,106,1,-1.46382835986407
30,97,1,-0.897746328857223
20,97,1,-1.79344797966312
47,97,1,0.015259604011536
46,96,1,0.533385749055999
78,98,1,1.45614543437153
18,77,1,-1.50029853924145
72,111,1,0.459669864320078
65,98,1,0.571768942351339
74,111,1,0.842288327237017
81,95,1,1.86833607421041
30,91,1,-0.443558880623349
46,88,1,0.423965254260662
61,96,1,0.688627255341343
70,109,1,0.475499877112839
76,104,1,1.24506799990468
42,112,1,-0.353408613980003
56,89,1,0.452517348800912
36,95,1,-0.0272059760410981
32,104,1,-1.0102141710763
54,97,1,0.660733237688289
79,100,1,1.27872190269643
23,87,1,-0.63670639257718
34,78,1,-0.0383883385100005
27,106,1,-1.50785375848394
28,95,1,-0.787784972864317
80,113,1,1.10442705782327
40,95,1,-0.307451904832112
58,114,1,-0.0696679566437902
11,90,1,-2.29948244823957
27,111,1,-0.92016332169847
32,91,1,-0.425935168059929
42,97,1,-0.455632225569075
46,106,1,-0.0606710034518267
88,111,1,1.40050033849205
64,101,1,0.806954838180201
49,103,1,0.280405953152764
47,104,1,-0.329096353559665
61,102,1,0.361919784591491
32,107,1,-1.03054114309897
14,100,1,-2.36433627684544
33,92,1,-0.761453050111766
54,121,1,0.00573558704859627
47,104,1,-0.630503687643813
31,90,1,-1.02202703796649
16,82,1,-1.21779099681615
33,92,1,-0.723531620545465
12,96,1,-2.00505976394791
62,106,1,0.356008688877416
33,93,1,-0.266797593008877
23,87,1,-1.04162424023784
66,99,1,0.647686102562631
43,106,1,-0.455228662570772
49,99,1,-0.0257377022158503
68,83,1,1.35309733664909
76,111,1,1.14474886991599
35,83,1,-0.383766931281204
34,96,1,-0.646209769994744
51,75,1,0.646535834319527
14,98,1,-1.48470346397805
32,101,1,-0.803462964344395
55,101,1,0.568068733455185
38,116,1,-0.476154829902129
80,103,1,1.3447320102722
57,90,1,0.762036507909044
56,95,1,0.866576356834472
78,108,1,1.39205896065429
28,103,1,-0.475062649857106
52,96,1,0.142661667736988
55,84,1,0.511533036642645
40,94,1,-0.0799386001923922
60,94,1,0.845636070186655
59,92,1,0.784051520485447
53,86,1,0.540250284934411
26,92,1,-0.622511524118453
46,94,1,-0.0924716888710831
29,88,1,-1.03726714983601
58,91,1,0.956987563443171
42,111,1,-0.320078183078813
67,101,1,0.879488072272854
96,109,1,2.22447368384422
49,113,1,-0.560809460169224
26,101,1,-1.24797229050784
67,99,1,0.497391948439679
31,127,1,-1.21606150290935
56,107,1,0.337869096313734
