y,n,X1,X2
68,91,1,1.14541619090874
62,110,1,-0.0266499860902849
36,92,1,-0.413622419241088
76,98,1,0.848298527980435
77,105,1,0.90990944519347
77,93,1,1.11875414569539
60,92,1,-0.0150135872490329
75,108,1,0.516243765358977
62,109,1,0.301152690357388
34,100,1,-1.26858796906565
65,110,1,0.0182992896783056
70,101,1,0.426721018466581
77,98,1,0.690469354694264
33,87,1,-1.14593445892749
81,103,1,0.833694176714368
86,111,1,0.757842352329567
39,99,1,-1.37789071135494
37,100,1,-1.38930755427107
74,115,1,0.317855393770657
53,90,1,0.15278875389148
54,100,1,0.124419404751837
58,105,1,0.308066968163843
50,98,1,-0.309057126254972
79,116,1,0.418071494627926
80,109,1,0.715970137095873
48,94,1,-0.280015271285998
84,105,1,1.26877320068732
68,91,1,0.777621402319794
61,78,1,1.38156752217085
67,93,1,0.374327056732443
67,120,1,-0.140796978590333
49,95,1,-0.68907309659332
46,88,1,-0.271021304572835
67,116,1,-0.541131701720789
66,87,1,1.09487221717728
104,112,1,2.45387453932601
24,102,1,-1.83039328372469
26,93,1,-1.95339797840964
39,97,1,-1.12218223980901
42,97,1,-0.502496747135569
55,99,1,-0.63816214206098
86,103,1,1.65511777226172
51,102,1,-1.02826938277206
79,93,1,1.07123329650025
42,110,1,-1.12221054844926
61,102,1,-0.108100423695397
27,106,1,-2.29355352654624
63,94,1,0.434061597916946
75,93,1,1.25246987548518
73,102,1,0.617728258063243
66,109,1,-0.348720095098306
56,104,1,-0.164858051115633
72,101,1,0.667535570302171
67,89,1,0.609895436111108
67,103,1,-0.193705908229354
35,90,1,-0.833936795663586
56,91,1,0.0173715513618505
84,113,1,0.530905309263387
80,107,1,0.941495153233308
31,97,1,-1.95186184585292
59,83,1,0.395588051105914
35,80,1,-0.832235826209772
74,100,1,0.257990881910207
21,95,1,-2.2983493130472
44,106,1,-0.84907661354457
63,97,1,0.173408827296452
54,92,1,-0.53626769587993
84,95,1,1.74972642332798
30,89,1,-1.43165628655328
73,104,1,-0.0955522992412493
31,86,1,-0.92969484916841
50,87,1,-0.290385474108079
74,104,1,0.968167212892772
26,88,1,-1.72484515631377
42,118,1,-1.02626562234174
82,94,1,1.84503538090999
63,101,1,0.364374219097281
37,99,1,-1.37450859959731
60,111,1,-0.366983088584348
108,115,1,2.47008324802517
65,80,1,1.52125436882586
45,114,1,-1.01323963083375
26,96,1,-1.8609622038552
64,90,1,0.854900469460416
57,85,1,0.0673571859643388
39,90,1,-0.533549920941882
64,94,1,0.758304675763095
51,83,1,0.258199527252578
75,102,1,0.369684916882159
62,101,1,0.103517447208879
69,98,1,0.80593515801259
97,120,1,0.845453425025149
25,101,1,-1.83011824886196
48,102,1,-0.850005606121
72,103,1,0.423541303554872
50,102,1,-0.376882860350084
63,87,1,0.971468646988567
74,102,1,0.282010145573707
45,99,1,-0.868249730900323
84,98,1,2.3939210575519
