y,n,X1,X2
49,106,1,1.37129824706388
40,97,1,0.72300022779477
41,93,1,-0.128180979605682
32,96,1,-0.702500253907587
46,92,1,1.09968021583237
40,99,1,-0.587791246374378
32,82,1,0.53788058430869
28,89,1,-0.231880985262258
30,103,1,-1.19427147022114
53,105,1,0.587951763123135
37,108,1,-1.2792303262641
61,112,1,2.68033048491511
30,81,1,-1.23439529885988
47,109,1,0.268747219960405
35,106,1,-1.58251075496209
41,108,1,-0.256220865782147
48,108,1,0.069013320981812
40,98,1,0.104089985341857
36,117,1,-1.06166348847672
52,97,1,1.71400503814726
52,106,1,0.526310288192235
49,91,1,1.4110337028556
49,118,1,0.503197335892708
40,96,1,0.741808972679813
56,101,1,0.145319524161152
36,92,1,0.0260546223532508
35,102,1,-1.04011092197567
29,93,1,-1.967262922981
61,108,1,0.781867077818438
45,102,1,-0.249180997590276
36,85,1,-0.417751697863358
37,105,1,-0.775865179200664
32,101,1,-1.27336493965076
25,99,1,-1.04307045409541
50,101,1,0.648349439194102
31,96,1,-0.888050012559504
29,89,1,-0.352486848046733
25,93,1,-1.10174113890462
43,106,1,0.0201885075722488
35,84,1,1.32961275223194
44,100,1,1.10010436273588
36,82,1,0.111182236954851
39,100,1,0.325753790880038
29,79,1,0.860677725166365
39,101,1,0.373468317706262
36,94,1,-0.794946017906316
44,104,1,0.426571525530167
33,89,1,0.209395728126943
33,90,1,0.186061157219243
35,94,1,-1.02873553711907
40,99,1,0.041715058036883
30,104,1,-2.09556604935194
38,101,1,-0.585267157771958
36,108,1,-1.92802646647927
58,109,1,1.27281944611971
49,86,1,2.03883570235442
48,102,1,0.67331118880906
39,95,1,-0.107809983751476
48,104,1,1.16830352018619
30,88,1,-0.534449847873275
45,94,1,1.24154587589033
33,89,1,-0.616404650880497
47,89,1,0.728468174114207
37,86,1,-0.233148386425671
30,103,1,-1.44826250639134
51,102,1,0.977738012252487
34,107,1,-0.238160283431278
32,104,1,-0.51785840370088
32,94,1,-0.120498150107784
38,100,1,-0.853293865240039
59,110,1,0.828922796167247
35,101,1,-1.37022595381835
38,112,1,-0.854586042245207
54,107,1,0.770227753411903
48,100,1,-0.311281250561234
24,72,1,-0.920946288362602
33,106,1,-1.22308272890958
54,102,1,1.87871525733082
26,86,1,-1.75918158028259
27,98,1,-0.160427010014716
27,77,1,-0.686915340712652
49,112,1,0.888385416590795
51,102,1,0.270246095686167
38,101,1,-0.229344711381371
36,106,1,-0.643840038219299
35,103,1,-0.203582959090158
38,114,1,-0.835826170607165
41,92,1,0.358106327264292
49,121,1,-0.0318909247370274
41,97,1,-0.477139927766617
33,98,1,-1.09024341266353
40,104,1,-1.53204513263699
23,91,1,-2.49030654172507
29,72,1,-0.647125159244458
51,104,1,0.914265546279376
44,97,1,1.2367780272756
40,86,1,-0.730011222310259
46,114,1,-0.0171013149455936
38,101,1,-0.972023185718368
39,107,1,-0.0745046447064316
